ID,Name,Link,City,Street,Opening,Postcode,Url Location,Wifi,Laptop Friendly,Pet Friendly,Latitude,Longitude
201,Steampunk Coffee,https://europeancoffeetrip.com/cafe/steampunkcoffee-northberwick/,North Berwick,49A Kirk Ports,Monday - Friday: 09:00-17:00|Saturday - Sunday: 09:00-17:00,EH39 4HL,,Free Wi-Fi,,Pet Friendly,56.0582302,-2.7190154962447037
202,Sofu Coffee,https://europeancoffeetrip.com/cafe/sofucoffee-london/,London,68 Compton Street,Monday - Friday: 08:00-17:00|Saturday - Sunday: 09:00-17:00,EC1V 0BN,,Free Wi-Fi,Laptop Friendly,Pet Friendly,51.52480875164468,-0.10220576319204082
203,Mit Milch,https://europeancoffeetrip.com/cafe/mitmilch-hythe/,Hythe,2 Corner House Buildings,Monday: 08:00-15:00|Tuesday: Closed|Wednesday: 08:00-15:00|Thursday: 08:00-15:00|Friday: 08:00-15:00|Saturday: 08:00-15:00|Sunday: 09:00-14:00,CT21 5BD,,,,,51.07089,1.08069
204,Missing Bean,https://europeancoffeetrip.com/cafe/missingbean-oxford/,Oxford,14 Turl Street,Monday - Friday: 08:00-16:30|Saturday: 09:00-17:00|Sunday: 10:00-16:00,OX1 3DQ,,,,,51.753002800000004,-1.256269013475091
205,Workhouse Coffee,https://europeancoffeetrip.com/cafe/workhouse-oxford-reading/,Reading,335 Oxford Road,Monday: 08:00-14:30|Tuesday: 08:00-14:30|Wednesday: 08:00-17:00|Thursday: 08:00-16:00|Friday: 08:00-16:00|Saturday: 08:30-17:00|Sunday: 09:00-17:00,RG30 1AY,,,,,51.45607685,-0.9934815290597078
206,Watchhouse Bishopsgate,https://europeancoffeetrip.com/cafe/watchhousebishopsgate-london/,London,100 Bishopsgate,Monday: 07:00-17:00|Tuesday: 07:00-17:00|Wednesday: 07:00-17:00|Thursday: 07:00-17:00|Friday: 07:00-16:00|Saturday: Closed|Sunday: Closed,EC2M 1GT,,,,,,
207,Store Street Espresso,https://europeancoffeetrip.com/cafe/storestreetespresso40storestreet-london/,London,40 Store Street,Monday - Friday: 07:30-18:00|Saturday: 09:00-17:30|Sunday: 09:30-17:00,WC1E 7DB,,,,,51.5200421,-0.13068735233968387
208,Brickwood Coffee And Bread,https://europeancoffeetrip.com/cafe/BrickwoodCoffeeandBread-london/,London,16 Clapham Common South Side,Monday - Friday: 07:30-16:00|Saturday - Sunday: 08:00-16:00,SW4 7AB,,,,,51.4611688,-0.138399
209,Carbon Kopi,https://europeancoffeetrip.com/cafe/carbonkopi-london/,London,11 Margravine Road,Monday - Friday: 07:30-17:00|Saturday - Sunday: 07:30-17:00,W6 8LS,,Free Wi-Fi,Laptop Friendly,Pet Friendly,51.4864393,-0.21485180007666688
210,Watchhouse Tower Bridge,https://europeancoffeetrip.com/cafe/watchhousetowerbridge-london/,London,37 Shad Thames,Monday - Friday: 07:00-18:00|Saturday - Sunday: 07:00-18:00,SE1 2NJ,,,,,51.5036514,-0.074418
211,Hucks Cafe,https://europeancoffeetrip.com/cafe/huckscafe-london/,London,81 Grove Road,Monday - Friday: 08:00-16:00|Saturday: 08:00-16:00|Sunday: 09:00-16:00,E17 9BU,,Free Wi-Fi,Laptop Friendly,Pet Friendly,51.5792121,-0.012592570396200499
212,Rosta Coffee Bar,https://europeancoffeetrip.com/cafe/rosta-derry/,Derry,Carlisle Rd  Londonderry,Monday: Closed|Tuesday: 08:00-16:00|Wednesday: 08:00-16:00|Thursday: 08:00-16:00|Friday: 08:00-16:00|Saturday: 08:00-16:00|Sunday: 09:00-14:00,BT48 6JW,,,Laptop Friendly,Pet Friendly,,
214,Rhostio Speciality Coffee,https://europeancoffeetrip.com/cafe/rhostiospecialtycoffee-cardiff/,Cardiff,16C Crwys Road,Monday: 10:00-18:00|Tuesday: 10:00-18:00|Wednesday: 10:00-18:00|Thursday: 10:00-18:00|Friday: 10:00-22:00|Saturday: 10:00-22:00|Sunday: 10:00-18:00,CF24 4NJ,,,,,51.4936993,-3.1739928
215,The Yard,https://europeancoffeetrip.com/cafe/theyard-salisbury/,Salisbury,16 Dews Rd,Monday: Closed|Tuesday: 09:00-17:00|Wednesday: 09:00-17:00|Thursday: 09:00-17:00|Friday: 09:00-17:00|Saturday: 09:00-17:00|Sunday: Closed,SP2 7SN,,,,Pet Friendly,51.07014862054963,-1.803446857900816
216,Sojourn Coffee,https://europeancoffeetrip.com/cafe/sojouruncoffee-unitedkingdom/,Armagh,6 Barrack Street,Monday - Friday: 08:00-17:00|Saturday: 09:00-17:00|Sunday: Closed,BT60 1AD,,Free Wi-Fi,Laptop Friendly,,54.346741668069235,-6.648974352481732
217,Urban Botanica,https://europeancoffeetrip.com/cafe/urbanbotanica-london/,London,14 Windmill Row,Monday - Friday: 08:30-15:00|Saturday: 09:00-15:00|Sunday: 09:30-15:00,SE11 5DW,,,,,51.48707175,-0.11175202664051989
218,Ozone Coffee Roasters,https://europeancoffeetrip.com/cafe/ozonecoffeeroasters-london/,London,11 Leonard St,Monday - Friday: 07:30-16:30|Saturday - Sunday: 08:30-17:00,EC2A 4AQ,,,,,51.524704650000004,-0.08673842600611643
219,Mr Eion Speciality Coffee Roaster,https://europeancoffeetrip.com/cafe/mreionspecialitycoffeeroaster-edinburgh/,Edinburgh,44 44A E Trinity Road,Monday: Closed|Tuesday: 08:00-15:00|Wednesday: 08:00-15:00|Thursday: 08:00-15:00|Friday: 08:00-15:00|Saturday: 10:00-15:00|Sunday: Closed,EH5 3DJ,,,,Pet Friendly,55.9771188,-3.2000256
220,La Bottega Milanese,https://europeancoffeetrip.com/cafe/labottegamilanese-leeds/,Leeds,Bond Court 2,Monday: 07:30-17:00|Tuesday: 07:30-17:00|Wednesday: 07:30-17:00|Thursday: 07:30-20:00|Friday: 07:30-20:00|Saturday: 09:00-20:00|Sunday: 10:00-17:00,LS1 2JZ,,,,,53.797957,-1.5478135
221,The Yard,https://europeancoffeetrip.com/cafe/theyard-hampshire/,Hampshire,Chilton Manor Farm,Monday: Closed|Tuesday: Closed|Wednesday: 09:00-16:00|Thursday: 09:00-16:00|Friday: 09:00-19:00|Saturday: 09:00-16:00|Sunday: 09:00-16:00,SO24 9TX,,,,,51.1588257,-1.1552314
222,Storm In A Teacup Coffeehouse,https://europeancoffeetrip.com/cafe/storminteacupcoffeehouse-swansea/,Swansea,Stall 59  Market ,Monday - Friday: 08:00-16:00|Saturday: 08:00-16:00|Sunday: Closed,SA1 3QZ,,,,,51.61761,-3.94902
223,Coffeeology Richmond,https://europeancoffeetrip.com/cafe/Coffeeology-london/,London,4 The Square,Monday - Friday: 07:30-17:00|Saturday: 08:30-17:30|Sunday: 09:00-17:30,TW9 1DZ,,,,,51.4613444,-0.30272978614726315
224,Ottoman Coffeehouse,https://europeancoffeetrip.com/cafe/ottomancoffeehouse-glasgow/,Glasgow,73 Berkeley Street,Monday: Closed|Tuesday: 09:00-19:00|Wednesday: 09:00-19:00|Thursday: 09:00-19:00|Friday: 09:00-19:00|Saturday: 10:00-19:00|Sunday: 10:00-19:00,G3 7DX,,Free Wi-Fi,Laptop Friendly,,55.8651038,-4.2752199
225,Fire And Flow Roastery,https://europeancoffeetrip.com/cafe/fireandflowroastery-cirencester/,Cirencester,Unit 2A Tall Trees Estate Bagendon,Monday - Friday: 09:00-15:00|Saturday - Sunday: 09:00-15:00,GL7 7JE,,Free Wi-Fi,Laptop Friendly,Pet Friendly,51.7536698,-1.9859919
226,Playground Coffee House,https://europeancoffeetrip.com/cafe/playgroundcoffeehouse-bristol/,Bristol,45 St Nicholas St,Monday: Closed|Tuesday: Closed|Wednesday: 12:00-23:00|Thursday: 12:00-23:00|Friday: 12:00-23:00|Saturday: 12:00-23:00|Sunday: 13:00-17:00,BS1 1TP,,,,,51.45376305,-2.594742404101389
227,Foreign Exchange,https://europeancoffeetrip.com/cafe/foreignexchange-london/,London,22 Leinster Terrace,Monday: 08:00-16:00|Tuesday: 08:00-16:00|Wednesday: 08:00-16:00|Thursday: 08:00-16:00|Friday: 08:00-17:00|Saturday: 08:00-17:00|Sunday: 08:00-17:00,W2 3ET,,,,,51.51153305,-0.18323657209611538
228,Element Coffee,https://europeancoffeetrip.com/cafe/elementcoffee-london/,London,236 Northfield Avenue,Monday: 07:00-15:30|Tuesday: 07:00-15:30|Wednesday: 07:00-15:30|Thursday: 07:00-15:30|Friday: 07:00-16:00|Saturday: 08:00-16:00|Sunday: 08:00-16:00,W13 9SJ,,Free Wi-Fi,Laptop Friendly,Pet Friendly,51.499405949999996,-0.3150532999999981
229,Grapefruit,https://europeancoffeetrip.com/cafe/grapefruit-manchester/,Manchester,2 School Road,Monday - Friday: 08:00-15:00|Saturday: 09:00-15:00|Sunday: Closed,M33 7XY,,,,,53.42469988258824,-2.319426617024256
230,Esters,https://europeancoffeetrip.com/cafe/esters-london/,London,55 Kynaston Road,Monday: Closed|Tuesday: 08:00-15:30|Wednesday: 08:00-15:30|Thursday: 08:00-15:30|Friday: 08:00-15:30|Saturday: 09:00-15:30|Sunday: Closed,N16 0EB,,,,,51.5600895,-0.0780558
231,Idle Hands,https://europeancoffeetrip.com/cafe/idlehands-manchester/,Manchester,32-34 Dale Street NQ,Monday - Friday: 08:30-17:00|Saturday: 10:00-17:00|Sunday: 10:00-16:00,M1 1FY,,,,,53.48154576,-2.23395256
232,Coffeesynthesis,https://europeancoffeetrip.com/cafe/coffeesynthesis-leeds/,Leeds,Armouries Dr,Monday: Closed|Tuesday: Closed|Wednesday: 08:00-15:30|Thursday: 08:00-15:30|Friday: 08:00-15:30|Saturday: 09:00-16:30|Sunday: 09:00-16:30,LS10 1LE,,,,,53.78966468753901,-1.5314838827067718
233,Origin Coffee,https://europeancoffeetrip.com/cafe/origincoffee-edinburgh/,Edinburgh,6-8 S College St,Monday - Friday: 08:00-17:00|Saturday - Sunday: 08:00-17:00,EH8 9AA,,,,,55.9469811,-3.1866713
234,Jaunty Goat - Vegan,https://europeancoffeetrip.com/cafe/jauntygoat-vegan-chester/,Chester,128 Northgate Street,Monday - Friday: 09:00-17:00|Saturday - Sunday: 09:00-17:00,CH1 2HT,,Free Wi-Fi,Laptop Friendly,Pet Friendly,53.1935502,-2.893065
235,The Little One,https://europeancoffeetrip.com/cafe/thelittleone-london/,London,115a Regent's Park Road,Monday - Friday: 08:30-17:30|Saturday - Sunday: 08:30-17:30,NW1 8UR,,,,,51.542545,-0.155668
236,Kin+Ilk Capital Quarter,https://europeancoffeetrip.com/cafe/kinandilk-cardiff/,Cardiff,No 1 Capital Quarter (Smart Way) Tyndall Street,Monday - Friday: 07:30-15:00|Saturday - Sunday: Closed,CF10 4BZ,,,,,51.4768167882353,-3.169822347058824
237,Lovecrumbs,https://europeancoffeetrip.com/cafe/lovecrumbs-edinburgh/,Edinburgh,155 West Port,Monday - Friday: 09:00-18:00|Saturday - Sunday: 09:00-18:00,EH3 9DP,,,,,55.945965,-3.2018268
238,Café Volt,https://europeancoffeetrip.com/cafe/cafevolt-london/,London,127-131 Great Suffolk St,Monday - Friday: 09:00-17:30|Saturday - Sunday: Closed,SE1 1PP,,Free Wi-Fi,Laptop Friendly,Pet Friendly,51.50029253640048,-0.09676697258127583
239,Mokoko Coffee,https://europeancoffeetrip.com/cafe/mokokocoffee-bath/,Bath,6 Abbey Churchyard,Monday - Friday: 09:00-17:00|Saturday: 09:00-18:00|Sunday: 09:00-17:00,BA1 1LY,,,,,51.38134755,-2.3602225150469125
240,Profile,https://europeancoffeetrip.com/cafe/profilecoffee-london/,London,1b Highbury Park,Monday - Friday: 08:00-16:00|Saturday - Sunday: 08:00-16:00,N5 1QJ,,Free Wi-Fi,Laptop Friendly,Pet Friendly,51.555045669193554,-0.09833527389603072
241,Jericho Coffee Traders Roastery,https://europeancoffeetrip.com/cafe/jerichocoffeetradersroastery-oxford/,Oxford,Unit 2 Roger House Osney Mead,Monday - Friday: 08:00-15:00|Saturday: 10:00-14:00|Sunday: Closed,OX2 0ES,,,,,51.747892223076924,-1.2742581692307693
242,Buhler And Co,https://europeancoffeetrip.com/cafe/BuhlerandCo-london/,London,8 Chingford Rd,Monday - Friday: 09:00-15:30|Saturday - Sunday: 09:00-15:30,E17 4PJ,,,,,51.59057955,-0.017157687850408575
243,Arlo,https://europeancoffeetrip.com/cafe/arlo-burleyinwharfedale/,Burley in Wharfedale,70 Main Street,Monday - Friday: 08:00-15:00|Saturday: 08:00-15:00|Sunday: 09:30-15:00,LS29 7DF,,,,,53.91137363848596,-1.7418891207611158
244,Okende,https://europeancoffeetrip.com/cafe/okende-nottingham/,Nottingham,22 Gordon Road West Bridgford,Monday: 08:00-16:00|Tuesday: 08:00-16:00|Wednesday: 08:00-16:00|Thursday: 08:00-16:00|Friday: 08:00-21:30|Saturday: 08:00-21:30|Sunday: 08:00-16:00, NG3,,Free Wi-Fi,Laptop Friendly,Pet Friendly,,
245,Jericho Coffee Traders,https://europeancoffeetrip.com/cafe/jerichocoffeetraders-oxford/,Oxford,105 High St,Monday - Friday: 08:30-17:30|Saturday: 08:30-17:30|Sunday: 10:00-17:00,OX1 4BW,,,,,51.750477374007616,-1.2449197262482412
246,Root & Branch Coffee Roastery,https://europeancoffeetrip.com/cafe/rootandbranchcoffeeroasterybrewbar-belfast/,Belfast,Unit A3 PortView Trade Centre 310 Newtownards Rd,Monday - Friday: 08:30-15:00|Saturday - Sunday: Closed,BT4 1HE,,Free Wi-Fi,Laptop Friendly,Pet Friendly,54.59919,-5.8942437
247,Space Coffee House,https://europeancoffeetrip.com/cafe/spacecoffeehouse-glasgow/,Glasgow,540 Dumbarton Road,Monday - Friday: 08:00-17:00|Saturday: 08:00-17:00|Sunday: Closed,G11 6SW,,,,,55.87022005836504,-4.298442753807646
248,Blueprint Coffee & Books,https://europeancoffeetrip.com/cafe/blueprintcoffee-whitstable/,Whitstable,4 Oxford Street,Monday: 09:00-16:00|Tuesday: Closed|Wednesday: 09:00-16:00|Thursday: 09:00-16:00|Friday: 09:00-16:00|Saturday: 09:00-16:00|Sunday: 09:30-16:00,CT5 1DD,,Free Wi-Fi,,Pet Friendly,51.35595560369084,1.024273033996267
249,Siop Shop,https://europeancoffeetrip.com/cafe/siopshop-manchester/,Manchester,53 Tib Street,Monday - Friday: 08:30-16:30|Saturday - Sunday: 10:00-16:00,M4 1LS,,,,,53.4843583,-2.2340531
250,Cascara,https://europeancoffeetrip.com/cafe/cascara-bath/,Bath,3 Upper Borough Walls,Monday - Friday: 08:00-16:30|Saturday: 08:00-16:30|Sunday: 10:00-16:00,BA1 1RG,,Free Wi-Fi,Laptop Friendly,Pet Friendly,51.3828327,-2.3597231
251,Chalk Coffee,https://europeancoffeetrip.com/cafe/chalkcoffee-chester/,Chester,24 Watergate St,Monday - Friday: 08:00-17:00|Saturday: 08:00-17:00|Sunday: 09:00-17:00,CH1 2LA,,Free Wi-Fi,Laptop Friendly,Pet Friendly,53.1902606,-2.8926496
252,The Winchester Orangery,https://europeancoffeetrip.com/cafe/thewinchesterorangery-winchester/,Winchester,11 The Square ,Monday: 09:00-16:00|Tuesday: 09:00-16:00|Wednesday: 09:00-16:00|Thursday: 09:00-16:00|Friday: 09:00-18:00|Saturday: 09:00-18:00|Sunday: 09:00-16:00,SO23 9ES,,,,,51.062230400000004,-1.3153245918948309
253,Oh Donuts & Coffee,https://europeancoffeetrip.com/cafe/ohdonutsandcoffee-belfast/,Belfast,55 Upper Arthur St,Monday - Friday: 08:00-16:00|Saturday: 10:00-17:00|Sunday: Closed,BT1 4HG,,,,,,
254,Napoleon,https://europeancoffeetrip.com/cafe/napoleon-belfast/,Belfast,18 Ormeau Avenue,Monday - Friday: 08:00-15:00|Saturday: 10:00-15:00|Sunday: Closed,BT2 8HS,,,,,54.59258215,-5.929272767807264
255,Shed,https://europeancoffeetrip.com/cafe/shed-london/,London,8 Lee St,Monday - Friday: 08:00-20:00|Saturday: 09:00-20:00|Sunday: 09:00-18:00,E8 4DY,,,,,51.4671721,-0.007235293224411276
256,Yas Bean,https://europeancoffeetrip.com/cafe/yasbean-maccesfield/,Macclesfield,219 Buxton Rd,Monday - Friday: 07:30-15:00|Saturday - Sunday: 08:30-15:00,SK10 1NB,,Free Wi-Fi,,Pet Friendly,53.25834049650573,-2.1129251949048653
257,Village Green Coffee Shop,https://europeancoffeetrip.com/cafe/villagegreencoffeeshop-burwell/,Burwell,105 The Causeway,Monday: Closed|Tuesday: 08:30-16:30|Wednesday: 08:30-16:30|Thursday: 08:30-16:30|Friday: 08:30-16:30|Saturday: 09:00-16:00|Sunday: 10:00-14:00,CB25 0DU,,Free Wi-Fi,Laptop Friendly,,52.27919425,0.32475380000000026
258,Watchhouse Somerset House,https://europeancoffeetrip.com/cafe/watchhousesomersethouse-london/,London,Somerset House East Wing,Monday - Friday: 08:00-18:00|Saturday - Sunday: 09:00-18:00,WC2R 1LA,,,,,51.5114872,-0.1178185
259,Cable Co.,https://europeancoffeetrip.com/cafe/Cableco-london/,London,Chamberlayne Road,Monday - Friday: 07:00-16:30|Saturday: 08:00-16:00|Sunday: 08:30-16:00,NW10 3NR,,Free Wi-Fi,Laptop Friendly,Pet Friendly,51.534731430833226,-0.21951632332330195
260,Coffeesmith,https://europeancoffeetrip.com/cafe/coffeesmith-oxford/,Oxford,14-15 Golden Cross ,Monday - Friday: 09:00-17:00|Saturday: 09:00-18:00|Sunday: 10:00-17:00,OX1 3EU,,Free Wi-Fi,Laptop Friendly,Pet Friendly,51.752441700000006,-1.2574967676509323
261,Tamp Coffee,https://europeancoffeetrip.com/cafe/tampcoffee-london/,London,1 Devonshire Road,Monday - Friday: 07:30-15:30|Saturday - Sunday: 08:00-16:00,W4 2EU,,Free Wi-Fi,Laptop Friendly,Pet Friendly,51.5011047,-0.31164274999999997
262,Sweven,https://europeancoffeetrip.com/cafe/sweven/,Bristol,North Street 12,Monday - Friday: 08:00-17:00|Saturday: 09:00-17:00|Sunday: 10:00-16:00,BS3 1HT,,Free Wi-Fi,Laptop Friendly,Pet Friendly,51.441475499999996,-2.602047973444842
264,Clwb Coffi,https://europeancoffeetrip.com/cafe/clwbcoffi-tonypandy/,Tonypandy,121 Dunraven Street,Monday - Friday: 08:30-16:00|Saturday - Sunday: 09:00-15:00,CF40 1AS,,Free Wi-Fi,Laptop Friendly,Pet Friendly,51.6200168269416,-3.451769500297736
265,Compane,https://europeancoffeetrip.com/cafe/compane-london/,London,8-10 Princes Arcade,Monday - Friday: 08:00-17:00|Saturday: 09:00-17:00|Sunday: 10:00-17:00,SW1Y 6DS,,,,,51.508417910797725,-0.13760351622428324
266,Stacc,https://europeancoffeetrip.com/cafe/stacc-ilfracombe/,Ilfracombe,13-14 The Promenade,Monday: Closed|Tuesday: Closed|Wednesday: 10:00-17:00|Thursday: 10:00-17:00|Friday: 10:00-23:00|Saturday: 10:00-23:00|Sunday: 10:00-17:00,EX34 9BD,,,,,51.210177,-4.1199002
267,Cliffs,https://europeancoffeetrip.com/cafe/cliffs-margate/,Margate,172 Northdown Road,Monday - Friday: 08:00-15:00|Saturday: 08:30-15:00|Sunday: 09:00-14:30,CT9 2QN,,,,,51.3881657,1.3950692
268,Moonstruck Cafe,https://europeancoffeetrip.com/cafe/moonstruckcafe-london/,London,153 S Lambeth Rd ,Monday - Friday: 08:00-16:00|Saturday - Sunday: 08:00-16:00,SW8 1XN,,Free Wi-Fi,Laptop Friendly,Pet Friendly,51.47804645,-0.12319531180316545
269,Elsewhere Coffee Roastery And Brew Bar,https://europeancoffeetrip.com/cafe/elsewhere-roastery-london/,London,Unit 3 Titan Business Estate Ffinch Street,Monday - Friday: 08:00-15:00|Saturday - Sunday: 09:00-15:30,SE8 5QA,,,Laptop Friendly,Pet Friendly,51.47938,-0.02659
270,Corner Coffee,https://europeancoffeetrip.com/cafe/cornercoffee-cardiff/,Cardiff,13 High Street,Monday - Friday: 08:30-17:00|Saturday - Sunday: 09:00-17:00,CF10 1AX,,,,,51.48055,-3.179851
271,Just Between Friends,https://europeancoffeetrip.com/cafe/justbetweenfriends-manchester/,Manchester,56 Tib St,Monday - Friday: 08:00-16:00|Saturday - Sunday: 08:30-16:00,M4 1LG,,Free Wi-Fi,Laptop Friendly,Pet Friendly,53.4834284,-2.2351156
272,Babushka Kitchen Cafe,https://europeancoffeetrip.com/cafe/babushkakitchencafe-unitedkingdom/,Portrush,South Pier,Monday - Friday: 09:15-17:00|Saturday - Sunday: 09:15-17:00,BT56 8FN,,Free Wi-Fi,,,,
274,Mrs. Atha’S,https://europeancoffeetrip.com/cafe/mrsathas-leeds/,Leeds,18 Central Road,Monday - Friday: 09:00-16:00|Saturday: 09:00-17:00|Sunday: 09:00-16:00,LS1 6DE,,,,,53.796510749999996,-1.5411434285101737
275,Rosslyn Coffee Royal Exchange,https://europeancoffeetrip.com/cafe/rosslyncoffee-royalexchange-london/,London,21-22 Royal Exchange,Monday - Friday: 06:30-17:00|Saturday - Sunday: Closed,EC3V 3LP,,,,Pet Friendly,51.51371699595018,-0.08650735307896543
276,Nkora,https://europeancoffeetrip.com/cafe/nkora-london/,London,21 Hackney Road,Monday - Friday: 07:00-17:00|Saturday - Sunday: 08:00-17:00,E2 7NX,,,,,51.5275904,-0.0769289
277,Figment Coffee,https://europeancoffeetrip.com/cafe/figmentcoffee-aberdeen/,Aberdeen,70 Countesswells Rd.,Monday: Closed|Tuesday: 10:00-15:00|Wednesday: 09:00-15:00|Thursday: 09:00-15:00|Friday: 09:00-16:00|Saturday: 09:00-16:00|Sunday: 09:00-16:00,AB15 7YJ,,Free Wi-Fi,,Pet Friendly,57.13341125,-2.1472717253810973
278,French Monkey,https://europeancoffeetrip.com/cafe/frenchmonkey-glasgow/,Glasgow,49 Sinclair Dr,Monday: 07:30-17:00|Tuesday: 07:30-17:00|Wednesday: 07:30-17:00|Thursday: 07:30-23:00|Friday: 07:30-23:00|Saturday: 09:00-23:00|Sunday: 09:00-17:00,G42 9PR,,Free Wi-Fi,Laptop Friendly,Pet Friendly,55.82608655,-4.26723455281766
279,Coffee + Beer,https://europeancoffeetrip.com/cafe/coffeebeer-bristol/,Bristol,16 Cotham Hill,Monday - Friday: 08:00-17:00|Saturday: 10:00-17:00|Sunday: 10:00-16:00,BS6 6LF,,Free Wi-Fi,Laptop Friendly,Pet Friendly,51.46441125,-2.608674418399551
280,Fink’S Salt & Sweet,https://europeancoffeetrip.com/cafe/finkssaltandsweet/,London,70 Mountgrove Road,Monday - Friday: 08:00-16:00|Saturday: 08:00-16:00|Sunday: 09:00-16:00,N5 2LT,,,,,51.5612842,-0.09628401451613003
281,Iris & June,https://europeancoffeetrip.com/cafe/irisandjune-london/,London,1 Howick Pl,Monday - Friday: 07:30-16:30|Saturday - Sunday: Closed,SW1P 1WG,,Free Wi-Fi,Laptop Friendly,Pet Friendly,51.4967767,-0.1360237
282,Colonna & Small'S,https://europeancoffeetrip.com/cafe/colonnaandsmalls-Bath/,Bath,6 Chapel Row,Monday - Friday: 08:30-17:30|Saturday: 09:00-17:30|Sunday: 10:00-16:00,BA1 1HN,,Free Wi-Fi,Laptop Friendly,Pet Friendly,51.38273565,-2.364406978304795
283,Old Spike Piccadilly,https://europeancoffeetrip.com/cafe/oldspike-piccadilly-london/,London,15 16 Sherwood St,Monday: 07:30-16:00|Tuesday: 07:30-16:00|Wednesday: 07:30-16:00|Thursday: 07:30-16:00|Friday: 07:30-15:00|Saturday: 10:00-16:00|Sunday: Closed,W1F 7BJ,,,,,51.5109411,-0.135993
284,Little Yellow Pig,https://europeancoffeetrip.com/cafe/littleyellowpig-chester/,Chester,31 Westminster Road Hoole,Monday - Friday: 09:00-17:00|Saturday: 09:00-17:00|Sunday: 10:00-15:00,CH2 3AX,,Free Wi-Fi,Laptop Friendly,Pet Friendly,53.19897466666667,-2.8748460444444444
285,Bam Glasgow,https://europeancoffeetrip.com/cafe/bamglasgow-glasgow/,Glasgow,44 Nithsdale Road,Monday: 11:00-17:00|Tuesday: Closed|Wednesday: 11:00-17:00|Thursday: 11:00-17:00|Friday: 11:00-17:00|Saturday: 11:00-17:00|Sunday: 11:00-17:00,G41 2AN,,,,,55.8369684,-4.2713524
286,Stir Coffee,https://europeancoffeetrip.com/cafe/stircoffee-london/,London,111 Brixton Hill Brixton,Monday - Friday: 08:00-15:00|Saturday - Sunday: 09:00-15:00,SW2 1AA,,,,,51.455098,-0.1194347
287,Faculty Coffee,https://europeancoffeetrip.com/cafe/facultycoffee-birmingham/,Birmingham,14 Piccadilly Arcade,Monday - Friday: 07:30-17:30|Saturday: 09:00-18:00|Sunday: 10:00-16:00,B2 4HD,,,,,52.4789211,-1.9000502166666668
288,Guillam Coffee House,https://europeancoffeetrip.com/cafe/guillam-myfair-london/,London,61 Curzon St,Monday - Friday: 07:00-18:00|Saturday - Sunday: 09:00-18:00,W1J 8PD,,Free Wi-Fi,,Pet Friendly,51.507670399999995,-0.1448935008955265
289,Little Victories,https://europeancoffeetrip.com/cafe/littlevictories-bristol/,Bristol,7 Gaol Ferry Steps,Monday - Friday: 08:00-17:00|Saturday - Sunday: 09:00-17:00,BS1 6WE,,,,,51.446602150000004,-2.599091108304311
290,Guillam Coffee House,https://europeancoffeetrip.com/cafe/gulliamcoffeehouse-saintpetersburgpl-london/,London,31 Saint Petersburgh Place,Monday - Friday: 07:30-17:00|Saturday - Sunday: 07:30-18:00,W2 4LA,,Free Wi-Fi,Laptop Friendly,Pet Friendly,51.51194395,-0.1911436
291,Peloton Espresso,https://europeancoffeetrip.com/cafe/pelotonespresso-oxford/,Oxford,76 Cowley Road,Monday - Friday: 08:00-17:00|Saturday - Sunday: 09:00-17:00,OX4 1JB,,,,,51.7488262,-1.2407314
292,New Ground Coffee,https://europeancoffeetrip.com/cafe/newgroundcoffee-oxford/,Oxford,2 Windmill Road,Monday - Friday: 08:00-15:00|Saturday - Sunday: 09:00-16:00,OX3 7BU,,,,,51.75952565,-1.2107847999999999
293,Curve Coffee Store,https://europeancoffeetrip.com/cafe/storeroombycurveroasters-margate/,Margate,12 The Centre,Monday - Friday: 08:30-16:00|Saturday - Sunday: 08:30-16:00,CT9 1JG,,,,Pet Friendly,51.3870506,1.3818597
294,Parcafe,https://europeancoffeetrip.com/cafe/parcafe-london/,London,53 Park Ln Mayfair,Monday - Friday: 08:00-17:00|Saturday - Sunday: Closed,W1K 1QA,,,,,51.5072956,-0.1523634
295,Ark Music And Coffee,https://europeancoffeetrip.com/cafe/arkmusicandcoffee-canterbury/,Canterbury,25-26 Oaten Hill,Monday: 08:00-16:00|Tuesday: Closed|Wednesday: 08:00-16:00|Thursday: 08:00-16:00|Friday: 08:00-16:00|Saturday: 08:00-16:00|Sunday: 09:00-15:00,CT1 3HZ,,Free Wi-Fi,Laptop Friendly,Pet Friendly,51.274288600000006,1.0843922225811018
296,Watchhouse Bath,https://europeancoffeetrip.com/cafe/watchhouse-bath/,Bath,8 Old Bond Street,Monday - Friday: 08:00-17:00|Saturday: 08:00-18:00|Sunday: 08:00-17:00,BA1 1BW,,Free Wi-Fi,Laptop Friendly,Pet Friendly,51.382704149999995,-2.3609550693394254
297,New Cut Coffee,https://europeancoffeetrip.com/cafe/newcutcoffee-bristol/,Bristol,Museum Street,Monday - Friday: 08:00-17:00|Saturday - Sunday: 09:00-18:00,BS1 6UD,,,,,51.44724532197447,-2.6025638185797773
298,Stoney Point,https://europeancoffeetrip.com/cafe/stoneypoint-brighton/,Brighton,15 Montpelier Place,Monday - Friday: 08:00-13:00|Saturday - Sunday: 10:00-14:00,BN1 3BF,,,,,50.82666195,-0.153541414672542
